Geography,Label,Measure Names,Subpop,SubPop Group,Years,Max. Lower CL,Max. Percent,Max. Upper CL,Measure Values
State,Used marijuana on 20 or more days in the past 30 days,RSE,Age,Age 18 to 24,2014,5.7,8.9,12.1,18.2
State,Used marijuana every day in the past 30 days,RSE,Age,Age 18 to 24,2014,2.9,5.5,8.1,24
State,Tried to quit smoking in the past year,RSE,Age,Age 18 to 24,2014,62.6,74.3,86,8
State,Medical marijuana use in the past 30 days,RSE,Age,Age 18 to 24,2014,,,,32.8
State,Marijuana use in the past 30 days,RSE,Age,Age 18 to 24,2014,16.4,21.1,25.8,11.4
State,Hookah use in the past 30 days,RSE,Age,Age 18 to 24,2014,5.3,8.5,11.6,18.9
State,Had their last cigarette 6 to 12 months ago (among former smokers),RSE,Age,Age 18 to 24,2014,,,,43.7
State,Ever used marijuana,RSE,Age,Age 18 to 24,2014,41.4,47.1,52.9,6.2
State,E-cigarette use in the past 30 days,RSE,Age,Age 18 to 24,2014,7.4,10.8,14.2,16.2
State,Drove within 3 hours of using marijuana within the past 12 months (includes medical users),RSE,Age,Age 18 to 24,2014,33,46.8,60.7,15.1
State,Current smokeless tobacco use,RSE,Age,Age 18 to 24,2014,2.3,4.3,6.4,23.7
State,Current cigarette smoking,RSE,Age,Age 18 to 24,2014,10.1,13.6,17.2,13.3
State,Current and recent smokers advised to quit smoking by a health provider,RSE,Age,Age 18 to 24,2014,60.5,72.9,85.3,8.7
State,Anyone smoked in home in the past 30 days,RSE,Age,Age 18 to 24,2014,7,10.3,13.7,16.3
State,Used marijuana on 20 or more days in the past 30 days,Upper CL,Age,Age 18 to 24,2014,5.7,8.9,12.1,12.1
State,Used marijuana every day in the past 30 days,Upper CL,Age,Age 18 to 24,2014,2.9,5.5,8.1,8.1
State,Tried to quit smoking in the past year,Upper CL,Age,Age 18 to 24,2014,62.6,74.3,86,86
State,Medical marijuana use in the past 30 days,Upper CL,Age,Age 18 to 24,2014,,,,
State,Marijuana use in the past 30 days,Upper CL,Age,Age 18 to 24,2014,16.4,21.1,25.8,25.8
State,Hookah use in the past 30 days,Upper CL,Age,Age 18 to 24,2014,5.3,8.5,11.6,11.6
State,Had their last cigarette 6 to 12 months ago (among former smokers),Upper CL,Age,Age 18 to 24,2014,,,,
State,Ever used marijuana,Upper CL,Age,Age 18 to 24,2014,41.4,47.1,52.9,52.9
State,E-cigarette use in the past 30 days,Upper CL,Age,Age 18 to 24,2014,7.4,10.8,14.2,14.2
State,Drove within 3 hours of using marijuana within the past 12 months (includes medical users),Upper CL,Age,Age 18 to 24,2014,33,46.8,60.7,60.7
State,Current smokeless tobacco use,Upper CL,Age,Age 18 to 24,2014,2.3,4.3,6.4,6.4
State,Current cigarette smoking,Upper CL,Age,Age 18 to 24,2014,10.1,13.6,17.2,17.2
State,Current and recent smokers advised to quit smoking by a health provider,Upper CL,Age,Age 18 to 24,2014,60.5,72.9,85.3,85.3
State,Anyone smoked in home in the past 30 days,Upper CL,Age,Age 18 to 24,2014,7,10.3,13.7,13.7
State,Used marijuana on 20 or more days in the past 30 days,Lower CL,Age,Age 18 to 24,2014,5.7,8.9,12.1,5.7
State,Used marijuana every day in the past 30 days,Lower CL,Age,Age 18 to 24,2014,2.9,5.5,8.1,2.9
State,Tried to quit smoking in the past year,Lower CL,Age,Age 18 to 24,2014,62.6,74.3,86,62.6
State,Medical marijuana use in the past 30 days,Lower CL,Age,Age 18 to 24,2014,,,,
State,Marijuana use in the past 30 days,Lower CL,Age,Age 18 to 24,2014,16.4,21.1,25.8,16.4
State,Hookah use in the past 30 days,Lower CL,Age,Age 18 to 24,2014,5.3,8.5,11.6,5.3
State,Had their last cigarette 6 to 12 months ago (among former smokers),Lower CL,Age,Age 18 to 24,2014,,,,
State,Ever used marijuana,Lower CL,Age,Age 18 to 24,2014,41.4,47.1,52.9,41.4
State,E-cigarette use in the past 30 days,Lower CL,Age,Age 18 to 24,2014,7.4,10.8,14.2,7.4
State,Drove within 3 hours of using marijuana within the past 12 months (includes medical users),Lower CL,Age,Age 18 to 24,2014,33,46.8,60.7,33
State,Current smokeless tobacco use,Lower CL,Age,Age 18 to 24,2014,2.3,4.3,6.4,2.3
State,Current cigarette smoking,Lower CL,Age,Age 18 to 24,2014,10.1,13.6,17.2,10.1
State,Current and recent smokers advised to quit smoking by a health provider,Lower CL,Age,Age 18 to 24,2014,60.5,72.9,85.3,60.5
State,Anyone smoked in home in the past 30 days,Lower CL,Age,Age 18 to 24,2014,7,10.3,13.7,7
State,Used marijuana on 20 or more days in the past 30 days,Percent,Age,Age 18 to 24,2014,5.7,8.9,12.1,8.9
State,Used marijuana every day in the past 30 days,Percent,Age,Age 18 to 24,2014,2.9,5.5,8.1,5.5
State,Tried to quit smoking in the past year,Percent,Age,Age 18 to 24,2014,62.6,74.3,86,74.3
State,Medical marijuana use in the past 30 days,Percent,Age,Age 18 to 24,2014,,,,
State,Marijuana use in the past 30 days,Percent,Age,Age 18 to 24,2014,16.4,21.1,25.8,21.1
State,Hookah use in the past 30 days,Percent,Age,Age 18 to 24,2014,5.3,8.5,11.6,8.5
State,Had their last cigarette 6 to 12 months ago (among former smokers),Percent,Age,Age 18 to 24,2014,,,,
State,Ever used marijuana,Percent,Age,Age 18 to 24,2014,41.4,47.1,52.9,47.1
State,E-cigarette use in the past 30 days,Percent,Age,Age 18 to 24,2014,7.4,10.8,14.2,10.8
State,Drove within 3 hours of using marijuana within the past 12 months (includes medical users),Percent,Age,Age 18 to 24,2014,33,46.8,60.7,46.8
State,Current smokeless tobacco use,Percent,Age,Age 18 to 24,2014,2.3,4.3,6.4,4.3
State,Current cigarette smoking,Percent,Age,Age 18 to 24,2014,10.1,13.6,17.2,13.6
State,Current and recent smokers advised to quit smoking by a health provider,Percent,Age,Age 18 to 24,2014,60.5,72.9,85.3,72.9
State,Anyone smoked in home in the past 30 days,Percent,Age,Age 18 to 24,2014,7,10.3,13.7,10.3
State,Used marijuana on 20 or more days in the past 30 days,RSE,Age,Age 25 to 34,2014,2.5,4.7,6.9,23.5
State,Used marijuana every day in the past 30 days,RSE,Age,Age 25 to 34,2014,1.3,2.8,4.3,28
State,Tried to quit smoking in the past year,RSE,Age,Age 25 to 34,2014,52.4,61.9,71.4,7.8
State,Medical marijuana use in the past 30 days,RSE,Age,Age 25 to 34,2014,2.2,4,5.8,23.2
State,Marijuana use in the past 30 days,RSE,Age,Age 25 to 34,2014,11.2,14.5,17.8,11.5
State,Hookah use in the past 30 days,RSE,Age,Age 25 to 34,2014,,,,35.2
State,Had their last cigarette 6 to 12 months ago (among former smokers),RSE,Age,Age 25 to 34,2014,5.4,10,14.6,23.6
State,Ever used marijuana,RSE,Age,Age 25 to 34,2014,51.9,56.5,61.1,4.2
State,E-cigarette use in the past 30 days,RSE,Age,Age 25 to 34,2014,5.8,8.5,11.2,16
State,Drove within 3 hours of using marijuana within the past 12 months (includes medical users),RSE,Age,Age 25 to 34,2014,29.1,42.4,55.7,16
State,Current smokeless tobacco use,RSE,Age,Age 25 to 34,2014,2.6,4.4,6.3,21.2
State,Current cigarette smoking,RSE,Age,Age 25 to 34,2014,15.6,18.9,22.1,8.8
State,Current and recent smokers advised to quit smoking by a health provider,RSE,Age,Age 25 to 34,2014,47.7,57.5,67.3,8.7
