Geography,Label,Measure Names,Subpop,SubPop Group,Years,Max. Lower CL,Max. Percent,Max. Upper CL,Measure Values
State,Used marijuana on 20 or more days in the past 30 days,RSE,Age,Age 18 to 24,2012,3.8,5.9,8,17.9
State,Used marijuana every day in the past 30 days,RSE,Age,Age 18 to 24,2012,2.2,3.8,5.4,20.9
State,Tried to quit smoking in the past year,RSE,Age,Age 18 to 24,2012,54.9,64.5,74.1,7.6
State,Marijuana use in the past 30 days,RSE,Age,Age 18 to 24,2012,11.3,14.4,17.5,11
State,Had their last cigarette 6 to 12 months ago (among former smokers),RSE,Age,Age 18 to 24,2012,13.6,27.1,40.5,25.3
State,Ever used marijuana,RSE,Age,Age 18 to 24,2012,36.4,40.8,45.1,5.4
State,Current smokeless tobacco use,RSE,Age,Age 18 to 24,2012,3.2,4.9,6.6,17.8
State,Current cigarette smoking,RSE,Age,Age 18 to 24,2012,11.9,14.7,17.5,9.9
State,Used marijuana on 20 or more days in the past 30 days,Upper CL,Age,Age 18 to 24,2012,3.8,5.9,8,8
State,Used marijuana every day in the past 30 days,Upper CL,Age,Age 18 to 24,2012,2.2,3.8,5.4,5.4
State,Tried to quit smoking in the past year,Upper CL,Age,Age 18 to 24,2012,54.9,64.5,74.1,74.1
State,Marijuana use in the past 30 days,Upper CL,Age,Age 18 to 24,2012,11.3,14.4,17.5,17.5
State,Had their last cigarette 6 to 12 months ago (among former smokers),Upper CL,Age,Age 18 to 24,2012,13.6,27.1,40.5,40.5
State,Ever used marijuana,Upper CL,Age,Age 18 to 24,2012,36.4,40.8,45.1,45.1
State,Current smokeless tobacco use,Upper CL,Age,Age 18 to 24,2012,3.2,4.9,6.6,6.6
State,Current cigarette smoking,Upper CL,Age,Age 18 to 24,2012,11.9,14.7,17.5,17.5
State,Used marijuana on 20 or more days in the past 30 days,Lower CL,Age,Age 18 to 24,2012,3.8,5.9,8,3.8
State,Used marijuana every day in the past 30 days,Lower CL,Age,Age 18 to 24,2012,2.2,3.8,5.4,2.2
State,Tried to quit smoking in the past year,Lower CL,Age,Age 18 to 24,2012,54.9,64.5,74.1,54.9
State,Marijuana use in the past 30 days,Lower CL,Age,Age 18 to 24,2012,11.3,14.4,17.5,11.3
State,Had their last cigarette 6 to 12 months ago (among former smokers),Lower CL,Age,Age 18 to 24,2012,13.6,27.1,40.5,13.6
State,Ever used marijuana,Lower CL,Age,Age 18 to 24,2012,36.4,40.8,45.1,36.4
State,Current smokeless tobacco use,Lower CL,Age,Age 18 to 24,2012,3.2,4.9,6.6,3.2
State,Current cigarette smoking,Lower CL,Age,Age 18 to 24,2012,11.9,14.7,17.5,11.9
State,Used marijuana on 20 or more days in the past 30 days,Percent,Age,Age 18 to 24,2012,3.8,5.9,8,5.9
State,Used marijuana every day in the past 30 days,Percent,Age,Age 18 to 24,2012,2.2,3.8,5.4,3.8
State,Tried to quit smoking in the past year,Percent,Age,Age 18 to 24,2012,54.9,64.5,74.1,64.5
State,Marijuana use in the past 30 days,Percent,Age,Age 18 to 24,2012,11.3,14.4,17.5,14.4
State,Had their last cigarette 6 to 12 months ago (among former smokers),Percent,Age,Age 18 to 24,2012,13.6,27.1,40.5,27.1
State,Ever used marijuana,Percent,Age,Age 18 to 24,2012,36.4,40.8,45.1,40.8
State,Current smokeless tobacco use,Percent,Age,Age 18 to 24,2012,3.2,4.9,6.6,4.9
State,Current cigarette smoking,Percent,Age,Age 18 to 24,2012,11.9,14.7,17.5,14.7
State,Used marijuana on 20 or more days in the past 30 days,RSE,Age,Age 25 to 34,2012,4.2,5.8,7.4,14
State,Used marijuana every day in the past 30 days,RSE,Age,Age 25 to 34,2012,2.8,4.1,5.5,16.8
