Geography,Label,Measure Names,Subpop,SubPop Group,Years,Max. Lower CL,Max. Percent,Max. Upper CL,Measure Values
State,Used marijuana on 20 or more days in the past 30 days,RSE,Age,Age 18 to 24,2013,5.3,7.9,10.5,16.6
State,Used marijuana every day in the past 30 days,RSE,Age,Age 18 to 24,2013,3,5.1,7.3,21.3
State,Tried to quit smoking in the past year,RSE,Age,Age 18 to 24,2013,57.7,67.5,77.3,7.4
State,Medical marijuana use in the past 30 days,RSE,Age,Age 18 to 24,2013,2.5,4.6,6.8,23.3
State,Marijuana use in the past 30 days,RSE,Age,Age 18 to 24,2013,15.4,19.5,23.5,10.6
State,Hookah use in the past 30 days,RSE,Age,Age 18 to 24,2013,7.7,10.4,13.1,13.3
State,Had their last cigarette 6 to 12 months ago (among former smokers),RSE,Age,Age 18 to 24,2013,,,,48.6
State,Ever used marijuana,RSE,Age,Age 18 to 24,2013,42.9,48.1,53.3,5.5
State,Current smokeless tobacco use,RSE,Age,Age 18 to 24,2013,5.1,7.4,9.6,15.5
State,Current cigarette smoking,RSE,Age,Age 18 to 24,2013,13.5,16.8,20.2,10.2
State,Current and recent smokers advised to quit smoking by a health provider,RSE,Age,Age 18 to 24,2013,38.4,49.9,61.5,11.8
State,Anyone smoked in home in the past 30 days,RSE,Age,Age 18 to 24,2013,8,10.9,13.9,13.8
State,Used marijuana on 20 or more days in the past 30 days,Upper CL,Age,Age 18 to 24,2013,5.3,7.9,10.5,10.5
State,Used marijuana every day in the past 30 days,Upper CL,Age,Age 18 to 24,2013,3,5.1,7.3,7.3
State,Tried to quit smoking in the past year,Upper CL,Age,Age 18 to 24,2013,57.7,67.5,77.3,77.3
State,Medical marijuana use in the past 30 days,Upper CL,Age,Age 18 to 24,2013,2.5,4.6,6.8,6.8
State,Marijuana use in the past 30 days,Upper CL,Age,Age 18 to 24,2013,15.4,19.5,23.5,23.5
State,Hookah use in the past 30 days,Upper CL,Age,Age 18 to 24,2013,7.7,10.4,13.1,13.1
